Linhas de fornecimento,Lista de municipios
"Linha de Fornecimento 2110: Confecção de Artefato de Couro por Solda / 
Costura",Município 35491: Santa Rita de Cássia
Linha de Fornecimento 2111: Locação de Equipamento de Laboratório,Município 35513: Ibipitanga
Linha de Fornecimento 2112: Solda por Fricção,Município 35530: Ibiquera
Linha de Fornecimento 2113: Classificação de Produto ( Material ),Município 35556: Ibirapitanga
Linha de Fornecimento 2114: Radiochamada,Município 35572: Ibirapuã
Linha de Fornecimento 2115: Confecção / Manutenção de Painel Visual,Município 35599: Ibirataia
"Linha de Fornecimento 2116: Fornecimento de Medicamento - Sistema Convênio 
´Inativo´",Município 35610: Ibitiara
"Linha de Fornecimento 2117: Coleta de Lixo - Residencial / Comercial / 
Industrial",Município 35637: Ibititá
"Linha de Fornecimento 2118: Esterilização - Reprocessamento de Artigo / 
Instrumento Mé-dico Cirúrgico",Município 35653: Ibotirama
Linha de Fornecimento 2119: Advocacia,Município 35670: Ichu
Linha de Fornecimento 2120: Refino de Produto Químico,Município 35696: Igaporã
Linha de Fornecimento 2121: Locação de Equipamento de Microfilmagem,Município 35718: Iguai
Linha de Fornecimento 2122: Orientação / Educação - Atividade Física,Município 35734: Ilhéus
Linha de Fornecimento 2123: Carregamento de Material Bélico,Município 35750: Inhambupê
"Linha de Fornecimento 2124: Atendimento Médico em Uti Neonatal / 
Pedriátrica / Adulto",Município 35777: Ipecaetá
Linha de Fornecimento 2125: Prestação de Serviços de Garagista / Manobrista,Município 35793: Ipiaú
Linha de Fornecimento 2126: Prestação de Serviços de Eletricista,Município 35815: Ipirá
"Linha de Fornecimento 2127: Agropecuária - Administração e Comercialização 
de Produção",Município 35831: Ipupiara
Linha de Fornecimento 2128: Gráfico - Impresso Uso Oficial / Segurança,Município 35858: Irajubá
"Linha de Fornecimento 2129: Prestação de Serviços de Operador de Carga e 
Descarga",Município 35874: Iramaia
Linha de Fornecimento 2130: Prestação de Serviços de Copeiragem,Município 35890: Iraquara
Linha de Fornecimento 2131: Desentupimento,Município 35912: Irará
Linha de Fornecimento 2132: Transporte de Mudança - Internacional,Município 35939: Irecê
"Linha de Fornecimento 2133: Aferição, Calibração e Medição de Máquinas / 
Instrumentos /Sensores / Padrões / Equipamentos",Município 35955: Itaberaba
"Linha de Fornecimento 2134: Aferição e/ou Calibragem de Máquina Universal 
de Ensaios",Município 35971: Itabuna
"Linha de Fornecimento 2135: Aferição e/ou Calibração de Instrumento de 
Medir Força deUso Geral",Município 35998: Itacaré
Linha de Fornecimento 2136: Aferição de Instrumento Digital e Analógico,Município 36013: Itaeté
Linha de Fornecimento 2137: Aferição e/ou Calibração de Sensores,Município 36030: Itagi
"Linha de Fornecimento 2138: Aferição, Calibração e Medição de Avaliação 
Geométrica",Município 36056: Itagibá
Linha de Fornecimento 2139: Informática - Digitalização de Documento,Município 36072: Itagimirim
Linha de Fornecimento 2140: Gravação de Disco Óptico,Município 36099: Itaju do Colônia
Linha de Fornecimento 2141: Prestação de Serviços de Segurança,Município 36110: Itajuipe
Linha de Fornecimento 2142: Teste de Impressão ( Prova de Prelo ),Município 36137: Itamaraju
Linha de Fornecimento 2143: Avaliação Radiométrica,Município 36153: Itamari
Linha de Fornecimento 2144: Monitorização de Alarme,Município 36170: Itambé
"Linha de Fornecimento 2145: Confecção de Prótese de Membro Inferior - 
Amputação Abaixodo Joelho",Município 36196: Itanagra
"Linha de Fornecimento 2146: Confecção de Prótese de Membro Inferior - 
Amputação Acima doJoelho",Município 36218: Itanhém
Linha de Fornecimento 2147: Confecção de Prótese para Membros Superiores,Município 36234: Itaparica
"Linha de Fornecimento 2148: Confecção de Prótese para Amputação Parcial de 
Mão e Dedos -Luva Cosmética",Município 36250: Itapé
Linha de Fornecimento 2149: Psicologia - Aplicada,Município 36277: Itapebi
Linha de Fornecimento 2150: Promoção de Evento,Município 36293: Itapetinga
Linha de Fornecimento 2151: Armazenamento de Grão - em Silo,Município 36315: Itapicuru
Linha de Fornecimento 2152: Manutenção de Poço Artesiano,Município 36331: Itapitanga
"Linha de Fornecimento 2153: Estudo, Projeto - Comércio Exterior",Município 36358: Itaquara
"Linha de Fornecimento 2154: Estacionamento de Veículos Automotores - 
Gerência / Controle",Município 36374: Itarantim
"Linha de Fornecimento 2155: Instalação e Montagem de Equipamento - 
Liquefação / Fabrica-ção de Gás",Município 36390: Itiruçu
"Linha de Fornecimento 2156: Manutenção de Equipamento - Liquefação / 
Fabricação de Gás /Produção de Gás",Município 36412: Itiúba
Linha de Fornecimento 2157: Regência de Coral,Município 36439: Itororó
Linha de Fornecimento 2158: Limpeza Urbana,Município 36455: Ituaçu
Linha de Fornecimento 2159: Locação de Aeronave,Município 36471: Ituberá
Linha de Fornecimento 2160: Locação de Embarcação Marítima / Fluvial,Município 36498: Jacaraci
Linha de Fornecimento 2161: Curso Equitação,Município 36510: Jacobina
Linha de Fornecimento 2162: Curso Estabulação,Município 36536: Jaguaquara
Linha de Fornecimento 2163: Treinamento na Área de Administração Pública,Município 36552: Jaguarari
"Linha de Fornecimento 2164: Estudo, Projeto - Multisetorial",Município 36579: Jaguaripe
Linha de Fornecimento 2165: Curso Formação / Aperfeiçoamento - Vigilante,Município 36595: Jandaira
Linha de Fornecimento 2166: Coleta de Dados - Satélite,Município 36617: Jequié
Linha de Fornecimento 2167: Informática - Digitação Documento,Município 36633: Jeremoabo
Linha de Fornecimento 2168: Manipulação de Valores / Documentos,Município 36650: Jiquiricá
Linha de Fornecimento 2169: Locação de Equipamentos para Consumo de Gases,Município 36676: Jitaúna
Linha de Fornecimento 2170: Produção de Mudas,Município 36692: Juazeiro
Linha de Fornecimento 2171: Cadastramento Técnico de Dados,Município 36714: Jussara
Linha de Fornecimento 2172: Locação de Equipamento - Alarme,Município 36730: Jussiape
"Linha de Fornecimento 2173: Instalação / Manutenção / Monitorização - 
Sistema Alarme / Segurança",Município 36757: Lafaiete Coutinho
Linha de Fornecimento 2174: Instalação e Montagem Vidraria Laboratório,Município 36773: Laje
Linha de Fornecimento 2175: Manutenção Vidraria Laboratório,Município 36790: Lajedão
"Linha de Fornecimento 2176: Estudos e Projetos Desenvolvimento Equipamento 
Aeroespacial",Município 36811: Lajedinho
Linha de Fornecimento 2177: Estudos e Projetos Sistema Aeroespacial,Município 36838: Lamarão
"Linha de Fornecimento 2178: Estudos e Projetos Sistema Produção / 
Prospecção Petróleo",Município 36854: Lauro de Freitas
"Linha de Fornecimento 2179: Estudo e Projeto Desenvolvimento Equipamento 
Indústria Petrolífera",Município 36870: Lençóis
"Linha de Fornecimento 2180: Laboratório - Preparação Meios de Cultura / 
Soluções",Município 36897: Licínio de Almeida
Linha de Fornecimento 2181: Almoxarife / Controle de Estoque,Município 36919: Livramento de Nossa Senhora
"Linha de Fornecimento 2182: Cormécio / Distribuição - Petróleo e Seus 
Derivados",Município 36935: Macajubá
Linha de Fornecimento 2183: Instalação / Manutenção - Hidrômetro / Cavalete,Município 36951: Macarani
Linha de Fornecimento 2184: Leitura Medidor - Hidrômetro,Município 36978: Macaúbas
Linha de Fornecimento 2185: Usinagem Industrial,Município 36994: Macururé
Linha de Fornecimento 2186: Informática - Internet,Município 37010: Maiquinique
Linha de Fornecimento 2187: Coleta de Rejeito Nuclear,Município 37036: Mairi
Linha de Fornecimento 2188: Divulgação Técnico-Científica,Município 37052: Malhada
Linha de Fornecimento 2189: Embalagem / Etiquetagem / Postagem - Encomenda,Município 37079: Malhada de Pedras
Linha de Fornecimento 2190: Manutenção Turbinas Aeronáuticas e Componentes,Município 37095: Manoel Vitorino
Linha de Fornecimento 2191: Prestação de Serviços de Motorista,Município 37117: Maracás
Linha de Fornecimento 2192: Análise de Semente,Município 37133: Maragogipe
Linha de Fornecimento 2193: Curso Oratória / Expressão,Município 37150: Maraú
Linha de Fornecimento 2194: Movimentação Carga Geral / Braçagem,Município 37176: Marcionilio Souza
Linha de Fornecimento 2195: Abate - Animal / Ave,Município 37192: Mascote
Linha de Fornecimento 2196: Acampamento / Lazer / Turismo,Município 37214: Mata de São João
Linha de Fornecimento 2197: Arbitragem / Mediação Civil e Comercial,Município 37230: Medeiros Neto
Linha de Fornecimento 2198: Sistema de Custos - Estruturação,Município 37257: Miguel Calmon
Linha de Fornecimento 2199: Conservação Acervo Histórico-Cultural,Município 37273: Milagres
Linha de Fornecimento 2200: Içamento - Móveis / Carga / Equipamento,Município 37290: Mirangaba
Linha de Fornecimento 2201: Fabricação Carroceria / Reboque / Cabine Dupla,Município 37311: Monte Santo
Linha de Fornecimento 2202: Treinamento - Área Artística,Município 37338: Morpará
Linha de Fornecimento 2203: Dosimetria Pessoal,Município 37354: Morro do Chapéu
"Linha de Fornecimento 2204: Poda e Corte de Árvores - Áreas Públicas / 
Particulares",Município 37370: Mortugaba
Linha de Fornecimento 2205: Plantio de Árvore,Município 37397: Mucugê
"Linha de Fornecimento 2206: Administração / Execução Projeto Educacional - 
Convênio / Estágio / Universitário / Monitor",Município 37419: Mucuri
"Linha de Fornecimento 2207: Elaboração - Fornecimento de Periódico / 
Programa para Con-sulta",Município 37435: Mundo Novo
Linha de Fornecimento 2208: Distribuição Periódico / Livro ´Inativo´,Município 37451: Muniz Ferreira
Linha de Fornecimento 2209: Montagem Mecânica de Componente - Satélite,Município 37478: Muritiba
"Linha de Fornecimento 2210: Montagem / Teste Componente Eletrônico - 
Satélite",Município 37494: Mutuipe
Linha de Fornecimento 2211: Modelagem / Prototipação de Componente Mecânico,Município 37516: Nazaré
"Linha de Fornecimento 2212: Cantina / Bar / Lanchonete / Refeição Rápida / 
Restaurante",Município 37532: Nilo Peçanha
Linha de Fornecimento 2213: Museologia / Museólogo,Município 37559: Nova Canaã
Linha de Fornecimento 2214: Esterilização,Município 37575: Nova Itarana
"Linha de Fornecimento 2215: Cormecialização - Automóvel / Caminhão / 
Utilitário",Município 37591: Nova Soure
Linha de Fornecimento 2216: Assistência Técnica - Veículo Automotivo,Município 37613: Nova Viçosa
"Linha de Fornecimento 2217: Treinamento em Manutenção de Equipamento de 
Pesquisa / Ensi-no",Município 37630: Olindina
Linha de Fornecimento 2218: Desenho / Produção - Multimídia,Município 37656: Oliveira dos Brejinhos
Linha de Fornecimento 2219: Cenografia,Município 37672: Ouriçangas
"Linha de Fornecimento 2220: Projeto e Montagem de Iluminação - Residencial 
/ Comercial /Artística",Município 37699: Palmas de Monte Alto
Linha de Fornecimento 2221: Agropecuária - Serviços Auxiliares,Município 37710: Palmeiras
Linha de Fornecimento 2222: Agropecuária - Pesquisa,Município 37737: Paramirim
"Linha de Fornecimento 2223: Agropecuária - Assistência Técnica e Extensão 
Rural",Município 37753: Paratinga
"Linha de Fornecimento 2224: Agropecuária - Treinamento e Captação de 
Tecnologia",Município 37770: Paripiranga
Linha de Fornecimento 2225: Pesquisa / Estudo de Dados Estatísticos,Município 37796: Pau Brasil
Linha de Fornecimento 2226: Locação VHS / CD / DVD / Livros,Município 37818: Paulo Afonso
"Linha de Fornecimento 2227: Infra-Estrutura Aeroportuária - Implantação / 
AdministraçãoApoio Navegação Aérea",Município 37834: Pedrão
"Linha de Fornecimento 2228: Infra-Estrutura Aeroportuária - Operação 
Industrial / Comercial de Aeroporto",Município 37850: Pedro Alexandre
"Linha de Fornecimento 2229: Conferência / Envelopamento / Pagamento de 
Valores",Município 37877: Piatã
Linha de Fornecimento 2230: Conserto / Manutenção Amortecedor,Município 37893: Pilão Arcado
Linha de Fornecimento 2231: Documento - Guarda / Transporte,Município 37915: Pindai
Linha de Fornecimento 2232: Cartório / Tabelionato,Município 37931: Pindobaçu
Linha de Fornecimento 2233: Confecção / Magnetização - Cartão Personalizado,Município 37958: Piripá
Linha de Fornecimento 2234: Curso Profissionalizante,Município 37974: Piritiba
Linha de Fornecimento 2235: Consultoria e Assessoria - Curso Técnico,Município 37990: Planaltino
Linha de Fornecimento 2236: Produção Obra Audiovisual,Município 38016: Planalto
Linha de Fornecimento 2237: Distribuição Obra Audiovisual,Município 38032: Poções
Linha de Fornecimento 2238: Inscrição / Fiscalização Exercício Profissional,Município 38059: Pojuca
Linha de Fornecimento 2239: Regularização Fundiária / Assentamento,Município 38075: Porto Seguro
Linha de Fornecimento 2240: Psicopedagogia Clínica,Município 38091: Potiraguá
Linha de Fornecimento 2241: Exportação,Município 38113: Prado
"Linha de Fornecimento 2242: Comércio / Representação : Produto - Nacional / 
Importado",Município 38130: Presidente Dutra
"Linha de Fornecimento 2243: Posto de Serviço (Veículo) - 
Fabricação/Instalação de Compo-nentes",Município 38156: Presidente Jânio Quadros
"Linha de Fornecimento 2244: Higienização de Documentação Arquivístico / 
Acervo Bibliográfico",Município 38172: Queimadas
Linha de Fornecimento 2245: Controle de Zoonose,Município 38199: Quijingue
Linha de Fornecimento 2246: Confecção Aparelho Ortodôntico,Município 38210: Remanso
"Linha de Fornecimento 2247: Confecção de Prótese Dentária Fixa - Total / 
Parcial",Município 38237: Retirolândia
"Linha de Fornecimento 2248: Confecção de Prótese Dentária Removível - Total 
/ Parcial",Município 38253: Riachão das Neves
"Linha de Fornecimento 2249: Produção / Veiculação - Programa Teleducativo / 
Documentário/ Entrevista / Debate",Município 38270: Riachão do Jacuípe
Linha de Fornecimento 2250: Manutenção de Poço - Tubular,Município 38296: Riacho de Santana
Linha de Fornecimento 2251: Consultoria e Assessoria - Comunicação,Município 38318: Ribeira do Amparo
"Linha de Fornecimento 2252: Assistência Técnica a Operação de Usina 
Termonuclear / TermoElétrica",Município 38334: Ribeira do Pombal
"Linha de Fornecimento 2253: Estudos e Projetos Central Termonuclear / 
Termoelétrica",Município 38350: Rio de Contas
"Linha de Fornecimento 2254: Operação de Centrais Termonucleares / 
Termoelétricas",Município 38377: Rio do Antônio
"Linha de Fornecimento 2255: Gerenciamento de Construção e Montagem Central 
Termonuclearou Termoelétrica",Município 38393: Rio do Pires
Linha de Fornecimento 2256: Desenho Técnico - Convencional / Software,Município 38415: Rio Real
"Linha de Fornecimento 2257: Manipulação de Fórmulas - Medicamentos / 
Cosméticos / Insu-mos Farmacêuticos",Município 38431: Rodelas
"Linha de Fornecimento 2258: Manutenção de Máquina para Compactação de 
Produto",Município 38458: Ruy Barbosa
Linha de Fornecimento 2259: Afinação de Instrumentos Musicais,Município 38474: Salinas da Margarida
Linha de Fornecimento 2260: Checklivro - Divulgação / Cormecialização,Município 38490: Salvador
"Linha de Fornecimento 2261: Instalação / Montagem / Manutenção Equipamento 
- Irrigação /Agroindustriais",Município 38512: Santa Bárbara
Linha de Fornecimento 2262: Suinocultura - Projeto Técnico,Município 38539: Santa Brígida
Linha de Fornecimento 2263: Serigrafia - Curso / Impressão,Município 38555: Santa Cruz Cabrália
"Linha de Fornecimento 2264: Embalagem Produto - Farmacêutico / Veterinário 
/ Cosmético /Perfumaria / Alimentar",Município 38571: Santa Cruz da Vitória
Linha de Fornecimento 2265: Informática - Locação ( Software ),Município 38598: Santa Inês
Linha de Fornecimento 2266: Informática - Locação Equipamentos,Município 38610: Santaluz
Linha de Fornecimento 2267: Exploração / Aproveitamento de Jazidas / Poços,Município 38636: Santa Maria da Vitória
Linha de Fornecimento 2268: Armazém Alfandegário,Município 38652: Santana
Linha de Fornecimento 2269: Terminal de Conteiner ( Container ),Município 38679: Santanópolis
"Linha de Fornecimento 2270: Instalação / Manutenção - Equipamento 
Eletroeletrônico",Município 38695: Santa Teresinha
Linha de Fornecimento 2271: Curso de Artes Plásticas,Município 38717: Santo Amaro
"Linha de Fornecimento 2272: Instalação / Remoção de Divisória / Painel / 
Persiana",Município 38733: Santo Antônio de Jesus
Linha de Fornecimento 2273: Estudos e Projetos de Hidrogeologia,Município 38750: Santo Estevão
Linha de Fornecimento 2274: Apresentação Artística / Musical / Canto / Coral,Município 38776: São Desidério
Linha de Fornecimento 2275: Manutenção e Reparo em Máquina de Costura,Município 38792: São Félix
"Linha de Fornecimento 2276: Gráfico - Impressão de Manual e Formulário, 
Alceamento e En-velopamento",Município 38814: São Felipe
Linha de Fornecimento 2277: Confecção Tapete / Capacho,Município 38830: São Francisco do Conde
Linha de Fornecimento 2278: Estudos e Projetos em Ciência Administrativa,Município 38857: São Gonçalo dos Campos
"Linha de Fornecimento 2279: Consultoria e Assessoria - Setor Público / 
Privado",Município 38873: São Miguel das Matas
Linha de Fornecimento 2280: Estiva - Carregador / Operador Carga,Município 38890: São Sebastião do Passé
Linha de Fornecimento 2281: Instalação de Forro - Lã de Vidro / Lã de Rocha,Município 38911: Sapeaçu
"Linha de Fornecimento 2282: Serviço Penitenciário - Reeducação e 
Reabilitação de Apenado",Município 38938: Sátiro Dias
Linha de Fornecimento 2283: Agricultura - Preparação / Plantio / Colheita,Município 38954: Saúde
Linha de Fornecimento 2284: Agricultura - Instalação / Manutenção de Cerca,Município 38970: Seabra
"Linha de Fornecimento 2285: Manutenção / Reparo / Reforma - Máquina para 
Fabricação dePapel",Município 38997: Sebastião Laranjeiras
"Linha de Fornecimento 2286: Manutenção e Reparo - Acoplamento / Variador / 
Freio Hidro-dinâmico",Município 39012: Senhor do Bonfim
Linha de Fornecimento 2287: Manutenção e Reparo - Eixo Cardã,Município 39039: Sento Sé
"Linha de Fornecimento 2288: Comercialização / Recondicionamento de Peça e 
Componente",Município 39055: Serra Dourada
Linha de Fornecimento 2289: Manutenção e Reparo - Variador de Velocidade,Município 39071: Serra Preta
"Linha de Fornecimento 2290: Importação / Comercialização / Distribuição de 
Produto",Município 39098: Serrinha
Linha de Fornecimento 2291: Vistoria / Classificação de Navio,Município 39110: Serrolândia
"Linha de Fornecimento 2292: Manutenção e Reparo de Audiômetro / 
Ipedanciômetro",Município 39136: Simões Filho
Linha de Fornecimento 2293: Manutenção e Reparo em Equipamento - Uso Médico,Município 39152: Souto Soares
Linha de Fornecimento 2294: Manutenção de Cabine Audiométrica,Município 39179: Tabocas do Brejo Velho
Linha de Fornecimento 2295: Consultoria e Assessoria - Aeronáutica,Município 39195: Tanhaçu
"Linha de Fornecimento 2296: Comercialização Aeronave - Avião / Helicóptero 
/ Ultraleve",Município 39217: Tanquinho
"Linha de Fornecimento 2297: Manutenção Aeronave - Avião / Helicóptero / 
Ultraleve",Município 39233: Taperoá
Linha de Fornecimento 2298: Modelo,Município 39250: Tapiramutá
Linha de Fornecimento 2299: Locação de Tanque Criogênico,Município 39276: Teodoro Sampaio
Linha de Fornecimento 2300: Locação de Cilindro,Município 39292: Teofilândia
Linha de Fornecimento 2301: Instalação / Manutenção - Tanque Criogênico,Município 39314: Teolândia
"Linha de Fornecimento 2302: Manutenção de Equipamento de Gás - Central de 
Controle",Município 39330: Terra Nova
Linha de Fornecimento 2303: Publicação Livro / Matéria - Periódica / Oficial,Município 39357: TREMEDAL
Linha de Fornecimento 2304: Guincho / Reboque,Município 39373: Tucano
"Linha de Fornecimento 2305: Instalação e Montagem - Sistema de Ventilação e 
Lavagem deGases",Município 39390: Uauá
Linha de Fornecimento 2306: Manutenção e Reparo - Transmissão Automática,Município 39411: Ubaira
Linha de Fornecimento 2307: Recolhimento de Taxa / Imposto / Multa,Município 39438: Ubaitaba
Linha de Fornecimento 2308: Televisão - Assinatura,Município 39454: Ubatã
"Linha de Fornecimento 2309: Informática - Atualização ( Up Grade ) de 
Configuração deEquipamento / Programa",Município 39470: Uibai
Linha de Fornecimento 2310: Registro de Marca / Patente,Município 39497: Una
Linha de Fornecimento 2311: Registro de Programa de Computador,Município 39519: Urandi
Linha de Fornecimento 2312: Consultoria e Assessoria - Ergonomia,Município 39535: Uruçuca
Linha de Fornecimento 2313: Treinamento na Área de Ergonomia,Município 39551: Utinga
Linha de Fornecimento 2314: Assistência Neonatal,Município 39578: Valença
Linha de Fornecimento 2315: Execução de Teste de Estanqueidade,Município 39594: Valente
"Linha de Fornecimento 2316: Manutenção e Reparo em Equipamento de 
Condicionamento Físico/ Ergométrico",Município 39616: Várzea do Poço
Linha de Fornecimento 2317: Atendimento ao Público em Geral,Município 39632: Vera Cruz
Linha de Fornecimento 2318: Manutenção e Reparo - Embarcação,Município 39659: Vitória da Conquista
"Linha de Fornecimento 2319: Instalação / Manutenção / Reparo - Equipamento 
Laboratório",Município 39675: Wagner
Linha de Fornecimento 2320: Manutenção e Reparo - Termohigrógrafo,Município 39691: Wenceslau Guimarães
Linha de Fornecimento 2321: Confecção de Bandeira - Nacional / Distintiva,Município 39713: Xique-Xique
"Linha de Fornecimento 2322: Sistematização e Documentação - Sítio 
Arqueológico",Município 39730: Lapão
Linha de Fornecimento 2323: Análise e Avaliação - Sítio Arqueológico,Município 39756: Maetinga
Linha de Fornecimento 2324: Escavações Arqueológicas,Município 39772: Mansidão
Linha de Fornecimento 2325: Manutenção e Reparo - Turboalimentador,Município 39799: Nordestina
Linha de Fornecimento 2326: Balanceamento Eletrodinâmico,Município 39810: Pé de Serra
"Linha de Fornecimento 2327: Confecção de Artefato Texteis / Couro / 
Borracha / Lona",Município 39837: Pintadás
Linha de Fornecimento 2328: Desenvolvimento Tecnologia Ambiental,Município 39853: Rafael Jambeiro
Linha de Fornecimento 2329: Pesquisa Minero - Metalúrgica,Município 39870: Santa Luzia
"Linha de Fornecimento 2330: Pesquisa Doença Infecto - Contagiosa / 
Parasitária",Município 39896: São Gabriel
Linha de Fornecimento 2331: Check - In / Check - Out de Passageiro,Município 39918: Tanque Novo
Linha de Fornecimento 2332: Limpeza Aeronave - Interna / Externa,Município 39934: Teixeira de Freitas
Linha de Fornecimento 2333: Comercialização de Produtos Agropecuários,Município 39950: Várzea Nova
Linha de Fornecimento 2334: Beneficiamento de Arroz / Matéria Prima,Município 39977: Várzea da Roça
Linha de Fornecimento 2335: Comercialização / Distribuição - Vale Transporte,Município 39993: Wanderley
Linha de Fornecimento 2336: Comercialização de Grão,Município 40010: Abadia dos Dourados
Linha de Fornecimento 2337: Barbeiro / Cabeleireiro / Maquiador,Município 40037: Abaeté
Linha de Fornecimento 2338: Controle Microbiológico / Qualidade do Ar,Município 40053: Abre Campo
"Linha de Fornecimento 2339: Consultoria e Assessoria - Ar Condicionado / 
Qualidade do Ar",Município 40070: Acaiaca
Linha de Fornecimento 2340: Limpeza de Fossa / Esgoto / Boca de Lobo,Município 40096: Açucena
Linha de Fornecimento 2341: Comunicação - Assinatura / Valor Adicionado,Município 40118: Água Boa
Linha de Fornecimento 2342: Pronto Atendimento / Internação,Município 40134: Água Comprida
Linha de Fornecimento 2343: Marceneiro / Carpinteiro,Município 40150: Aguanil
Linha de Fornecimento 2344: Pedreiro / Azulejista,Município 40177: Águas Formosas
Linha de Fornecimento 2345: Secretária,Município 40193: Águas Vermelhas
Linha de Fornecimento 2346: Tratamento Dependência Química,Município 40215: Aimorés
Linha de Fornecimento 2347: Consulta Médica - Oftalmologia,Município 40231: Aiuruoca
"Linha de Fornecimento 2348: Oftalmologia / Diagnose - Ceratoscopia 
Computadorizada",Município 40258: Alagoa
"Linha de Fornecimento 2349: Oftalmologia / Diagnose - Campimetria 
Computadorizada",Município 40274: Albertina
"Linha de Fornecimento 2350: Oftalmologia / Cristalino - Capsulotomia Yag ou 
Cirúrgica",Município 40290: Além Paraíba
Linha de Fornecimento 2351: Oftalmologia - Laser Argônico,Município 40312: Alfenas
Linha de Fornecimento 2352: Oftalmologia - Ecografia / Ecobiometria,Município 40339: Almenara
Linha de Fornecimento 2353: Oftalmologia / Diagnose - Mapeamento de Retina,Município 40355: Alpercata
Linha de Fornecimento 2354: Oftalmologia / Diagnose - Paquimetria,Município 40371: Alpinópolis
Linha de Fornecimento 2355: Instalação - Cerca / Alambrado / Tela,Município 40398: Alterosa
Linha de Fornecimento 2356: Cooperativa / Representação de Classe,Município 40410: Alto Rio Doce
"Linha de Fornecimento 2357: Inspeção e Avaliação de Manutenção - Elevador / 
Escada Rolante",Município 40436: Alvarenga
"Linha de Fornecimento 2358: Estudos e Projetos de Elevadores e Escada 
Rolante - Avalia-ção / Modernização",Município 40452: Alvinópolis
Linha de Fornecimento 2359: Transporte de Carga - Internacional,Município 40479: Alvorada de Minas
Linha de Fornecimento 2360: Jogo / Diversão Eletrônica,Município 40495: Amparo da Serra
"Linha de Fornecimento 2361: Meio Ambiente / Recursos Naturais Renováveis - 
Execução dePolítica Nacional",Município 40517: Andradas
"Linha de Fornecimento 2362: Distribuição / Entrega de Conta - Luz, 
Telefone, Água, Gás",Município 40533: Cachoeira de Pajeú
Linha de Fornecimento 2363: Distribuição de Panfleto / Prospecto,Município 40550: Andrelândia
Linha de Fornecimento 2364: Impressão Eletrônica - Laser / Jato Tinta,Município 40576: Antônio Carlos
"Linha de Fornecimento 2365: Consultoria e Assessoria - Processamento 
Eletrônico de Docu-mentos",Município 40592: Antônio Dias
Linha de Fornecimento 2366: Informática - Automação de Escritório,Município 40614: Antônio Prado de Minas
"Linha de Fornecimento 2367: Informática - Armazenamento Eletrônico de 
Relatórios / Dados",Município 40630: Araçaí
Linha de Fornecimento 2368: Informática - Leitura Eletrônica de Caracteres,Município 40657: Aracitaba
Linha de Fornecimento 2369: Manutenção de Conteiner ( Container ),Município 40673: Araçuai
Linha de Fornecimento 2370: Serralharia,Município 40690: Araguari
Linha de Fornecimento 2371: Treinamento Informática - Equipamento / Hardware,Município 40711: Arantina
Linha de Fornecimento 2372: Treinamento na Área de Eletrônica,Município 40738: Araponga
Linha de Fornecimento 2373: Auto - Escola,Município 40754: Arapuã
"Linha de Fornecimento 2374: Pesquisa e Análise Estatística - Econômica / 
Sócio-Demográfica",Município 40770: Araújos
Linha de Fornecimento 2375: Pesquisa e Estudo - Geodésico / Cartográfico,Município 40797: Araxá
"Linha de Fornecimento 2376: Pesquisa e Estudo - Geográfico / Recursos 
Naturais / Meio -Ambiente",Município 40819: Arceburgo
Linha de Fornecimento 2377: Limpeza Hospitalar - Higienização / Desinfecção,Município 40835: Arcos
Linha de Fornecimento 2378: Consultoria e Assessoria - Análise Química,Município 40851: Areado
"Linha de Fornecimento 2379: Informática - Desenvolvimento / Implantação / 
Manutenção Re-de de Computador",Município 40878: Argirita
Linha de Fornecimento 2380: Inventário / Catalogação - Acervo Bibliográfico,Município 40894: Arinos
Linha de Fornecimento 2381: Avaliador Obra Rara,Município 40916: Astolfo Dutra
Linha de Fornecimento 2382: Bibliotecário,Município 40932: Ataléia
"Linha de Fornecimento 2383: Artesanato - Barro / Cerâmica / Madeira / 
Porcelana",Município 40959: Augusto de Lima
Linha de Fornecimento 2384: Laboratório - Análise Animal / Vegetal,Município 40975: Baependi
"Linha de Fornecimento 2385: Estudos e Projetos de Viabilidade Técnico - 
Econômico",Município 40991: Baldim
Linha de Fornecimento 2386: Consultoria e Assessoria - Orçamento,Município 41017: Bambuí
Linha de Fornecimento 2387: Prestação de Serviços Gerais ´INATIVO´,Município 41033: Bandeira
Linha de Fornecimento 2388: Defesa Pessoal / Artes Marciais,Município 41050: Bandeira do Sul
Linha de Fornecimento 2389: Decoração - Eventos / Solenidades,Município 41076: Barão de Cocais
"Linha de Fornecimento 2390: Confecção de Arranjos Ornamentais - Planta / 
Vaso",Município 41092: Barão de Monte Alto
Linha de Fornecimento 2391: Aplicação de Estampas ( Transfer ) Laser,Município 41114: Barbacena
"Linha de Fornecimento 2392: Ensino Especial - Superdotado / Deficiente 
Físico",Município 41130: Barra Longa
Linha de Fornecimento 2393: Locação de Louças / Talheres / Cristais,Município 41157: Três Marias
Linha de Fornecimento 2394: Madeireira / Serraria / Comércio de Madeira,Município 41173: Barroso
Linha de Fornecimento 2395: Manutenção e Reparo - Barco Alumínio,Município 41190: Bela Vista de Minas
"Linha de Fornecimento 2396: Estudos e Projetos de Sistemas de Sinalização / 
ComunicaçãoVisual",Município 41211: Belmiro Braga
Linha de Fornecimento 2397: Fabricação / Análise - Vacinas,Município 41238: Belo Horizonte
